peso,altura,sexo,edad,tabaco,ubes,carneRoja,verduras,deporte,drogas,dietaEsp,nivEstPad,nivEstudios,nivIngresos
53.69,1.69,V,45,30,6,0,16,6,0,N,0,2,2
84.95,1.68,M,31,0,0,0,13,0,0,N,1,1,0
65.89,1.63,M,56,0,0,1,4,0,3,N,0,2,1
47.93,1.5,M,41,30,0,0,15,6,0,N,1,2,2
81.97,1.69,V,31,0,8,5,4,0,9,N,1,0,0
83.97,1.69,M,29,0,2,1,0,0,0,N,1,2,3
82.39,1.66,M,44,10,0,3,24,13,0,N,2,1,1
55.12,1.75,V,38,90,12,5,7,0,4,N,3,4,4
82.83,1.69,M,18,0,15,1,3,2,0,N,2,3,3
89.71,1.79,V,50,0,9,5,0,0,0,N,0,0,1
68.42,1.74,V,33,40,0,2,0,0,2,N,4,4,4
81.85,1.68,M,39,0,0,1,0,0,0,N,0,1,1
72.06,1.61,M,18,0,0,2,0,0,0,N,2,3,4
84.97,1.7,M,18,0,0,0,7,13,0,N,3,4,4
83.94,1.76,V,58,0,3,0,13,14,0,N,1,2,0
90.54,1.77,V,21,0,4,0,6,7,0,N,1,1,1
51.41,1.69,V,49,80,0,3,1,0,0,N,0,1,1
58.32,1.8,V,42,50,0,0,12,5,NA,N,2,4,4
87.86,1.72,V,45,0,6,2,15,10,0,N,1,2,3
76.69,1.67,M,51,0,6,1,0,6,0,N,1,0,0
95.49,1.85,V,19,0,9,0,19,9,0,N,0,1,0
73.36,1.61,M,71,0,0,2,9,5,0,N,1,1,0
81.44,1.74,V,31,0,0,0,0,5,0,N,1,3,3
88.6,1.71,V,32,0,0,0,6,4,0,N,2,3,3
66.95,1.63,M,35,0,18,3,0,1,1,N,1,0,0
87.5,1.74,V,23,0,0,0,9,4,0,N,1,2,3
64.72,1.59,M,25,0,0,0,0,2,0,N,1,2,1
82.27,1.67,M,49,0,1,0,3,4,0,N,3,4,3
91.48,1.77,V,36,0,0,3,3,4,0,N,1,0,0
72.1,1.54,M,46,0,0,6,0,1,0,S,2,3,3
74.74,1.67,V,30,0,6,0,0,2,0,N,1,2,2
93.35,1.7,V,20,0,2,0,21,6,0,N,1,1,0
93.77,1.83,V,35,0,2,6,0,3,0,S,0,2,1
69.12,1.69,V,51,10,10,0,13,13,0,N,0,1,2
93.99,1.77,V,46,0,1,4,0,4,0,N,1,1,1
99.31,1.74,V,56,0,0,0,17,9,0,N,2,4,4
97.38,1.82,V,39,0,8,5,0,2,0,N,2,3,4
53.25,1.72,M,43,130,9,1,11,2,1,N,2,2,1
50.2,1.67,M,54,140,5,1,3,9,0,N,1,3,4
80.76,1.72,V,31,0,0,2,0,7,0,N,0,2,2
77.11,1.8,V,62,20,7,0,25,19,0,N,2,4,4
77.86,1.65,M,34,0,0,2,1,0,0,N,1,1,1
82.93,1.62,M,66,0,0,0,18,3,0,N,2,2,1
78.95,1.71,V,43,0,0,2,0,5,0,N,2,4,2
90.23,1.77,V,31,0,12,0,3,0,4,N,1,1,1
85.21,1.65,M,18,0,2,0,13,2,0,N,2,2,1
52.02,1.7,M,45,130,13,0,0,0,2,N,2,4,4
86.08,1.68,M,68,0,0,0,17,4,0,N,1,2,1
77.61,1.59,M,25,0,0,3,0,0,0,N,2,2,1
81.13,1.61,M,25,0,0,0,16,13,0,N,2,2,2
79.63,1.74,M,18,0,11,0,0,0,0,N,0,2,1
95.78,1.83,V,66,0,5,0,2,0,1,N,1,2,4
68.75,1.78,V,56,40,0,2,0,0,0,N,3,4,4
88.34,1.68,M,52,0,1,2,13,0,0,N,1,3,3
82.56,1.81,V,48,0,8,0,11,6,4,S,0,1,1
84.91,1.72,M,53,0,0,0,2,1,2,N,0,0,0
88.59,1.73,V,45,0,0,2,0,0,0,N,1,0,0
70.5,1.57,M,44,0,0,5,9,8,NA,N,1,3,0
73.64,1.58,M,35,0,0,0,6,0,0,N,0,3,3
70.84,1.67,M,49,0,10,3,4,6,0,N,1,3,2
85.2,1.72,V,74,0,6,1,12,0,0,N,1,1,1
56.45,1.68,M,21,30,3,0,8,3,0,N,1,3,4
70.53,1.59,M,38,0,3,0,0,0,0,N,0,2,3
51.41,1.69,M,66,100,6,0,6,10,4,N,1,1,1
83.67,1.67,M,48,0,1,0,13,6,0,N,2,3,4
77.5,1.61,M,67,0,0,4,8,6,0,N,1,0,0
78.81,1.64,M,43,0,1,0,1,0,0,N,1,2,2
73.1,1.68,V,40,0,0,0,0,7,2,N,1,2,1
99.14,1.8,V,23,0,0,0,16,9,0,N,0,2,2
88.08,1.78,V,47,0,12,3,3,1,0,N,2,4,4
46.66,1.61,M,57,70,18,3,0,7,0,N,0,0,1
83.91,1.75,V,79,0,0,0,7,5,0,N,2,4,4
76.6,1.74,V,54,20,0,5,0,0,0,N,3,4,0
71.02,1.61,M,30,0,10,0,6,0,0,N,1,2,2
50.2,1.67,M,47,90,3,0,19,9,0,N,2,2,2
93.04,1.81,V,39,0,5,1,0,3,0,N,0,0,1
50.2,1.67,M,49,60,9,1,3,11,0,N,1,3,3
83.26,1.74,V,53,0,8,5,0,0,0,N,0,1,1
90.68,1.79,V,48,0,13,4,0,0,0,N,2,4,4
94.07,1.82,V,36,0,0,3,0,2,0,N,0,0,0
73.07,1.67,M,54,0,7,0,0,2,5,N,0,2,2
58.97,1.81,V,35,180,9,5,0,6,5,N,0,0,1
84.13,1.65,M,46,0,5,1,13,3,0,N,1,1,3
75.31,1.64,M,26,0,3,2,0,4,0,N,0,0,1
93.15,1.78,V,75,0,1,2,29,20,0,N,1,3,2
93.68,1.73,V,38,0,0,0,11,5,0,N,2,4,4
85.49,1.65,M,58,0,0,0,10,4,0,N,2,2,2
94.83,1.68,M,29,0,0,2,21,10,0,N,3,4,3
84.49,1.63,M,65,0,2,0,8,0,0,N,3,4,3
71.73,1.57,M,44,0,0,0,1,0,0,N,0,2,3
81.78,1.76,V,29,0,0,0,3,16,0,N,1,2,2
85.4,1.69,V,53,0,0,0,14,11,0,N,2,3,4
110.3,1.82,V,43,0,0,4,15,2,NA,N,1,2,4
48.41,1.64,M,44,120,0,1,8,13,0,N,1,2,2
77.82,1.6,M,55,0,0,0,6,7,0,N,2,3,4
89.42,1.8,V,34,10,0,1,4,3,0,N,1,2,2
78.14,1.58,M,27,0,7,0,17,15,0,N,2,3,3
75.96,1.65,M,54,0,0,0,0,0,0,N,0,3,1
74.4,1.66,V,48,0,12,2,0,1,4,N,1,2,2
82.63,1.63,M,31,0,0,0,0,0,0,N,2,3,2
85.3,1.73,V,65,0,14,0,0,1,0,N,4,4,4
92.95,1.74,V,49,0,0,1,11,3,1,N,1,2,2
72.27,1.63,M,43,0,8,0,0,0,0,N,1,0,0
48.95,1.64,M,77,30,21,0,5,0,4,N,2,4,4
53.36,1.65,M,41,30,3,2,4,0,0,N,1,3,3
87.86,1.72,M,58,0,0,2,6,2,0,N,2,4,4
72.47,1.66,V,66,0,0,0,0,3,2,N,0,3,3
79.54,1.71,M,50,0,23,3,0,3,0,N,1,1,2
64.3,1.63,M,36,20,5,0,7,0,0,N,1,2,3
87.78,1.68,M,28,0,0,0,3,0,0,N,3,4,3
80.04,1.65,M,48,0,0,0,4,5,NA,N,1,2,2
96.18,1.86,V,28,0,5,1,7,1,0,N,1,4,3
73.7,1.64,M,36,0,0,0,0,9,0,N,1,3,3
83.92,1.71,M,50,0,8,2,3,3,5,N,1,1,0
46.66,1.61,M,39,90,0,0,0,4,3,N,2,4,4
74.85,1.7,M,41,0,16,1,11,0,0,N,1,2,0
51.25,1.66,M,32,40,0,3,0,0,0,N,1,2,3
48.41,1.64,M,55,100,3,2,0,2,0,N,1,2,2
76.33,1.72,M,55,0,3,3,0,2,0,N,1,2,1
88.75,1.72,V,46,0,0,0,13,8,9,N,1,3,3
61.98,1.69,V,43,30,2,5,0,2,0,N,1,1,2
58.97,1.81,V,18,100,0,4,5,0,3,N,2,3,3
83.68,1.69,M,33,0,0,6,0,6,0,S,1,3,2
78.12,1.59,M,30,0,5,1,11,12,0,N,3,3,4
76.49,1.68,M,22,0,11,1,0,0,0,N,2,3,2
94.68,1.81,V,36,0,13,0,20,4,0,N,0,1,2
87.28,1.7,M,47,0,0,0,23,12,0,N,2,4,4
80.63,1.7,V,24,10,0,0,17,12,0,N,1,3,4
73.16,1.64,M,18,0,0,4,1,2,0,N,1,4,3
84.95,1.68,M,52,0,0,0,1,0,0,N,1,3,3
87.59,1.75,V,37,0,0,0,0,0,6,N,2,3,2
49.6,1.66,M,19,60,0,3,10,9,0,N,0,0,0
77.98,1.66,M,48,0,3,3,0,4,0,N,2,3,3
78.73,1.62,M,18,0,0,0,12,2,0,N,0,0,0
95.05,1.78,V,51,0,0,3,0,0,0,N,1,0,0
82.9,1.73,V,52,0,0,2,11,10,0,N,1,2,0
82.76,1.65,M,27,0,0,1,8,7,2,N,2,4,4
87.97,1.69,M,22,0,0,3,0,0,0,N,2,4,4
52.63,1.71,V,55,90,2,4,0,1,0,N,2,2,1
102.25,1.84,V,46,0,5,2,5,0,0,N,1,1,0
96.44,1.79,V,34,0,0,0,14,2,0,N,1,1,1
68.05,1.67,V,44,30,0,2,15,1,0,N,1,2,3
93.15,1.67,V,43,0,0,0,11,0,0,N,3,4,4
64.97,1.59,M,28,0,12,1,0,0,0,N,0,0,0
75.4,1.69,M,40,0,2,3,0,6,6,N,0,0,0
72.15,1.65,M,54,0,8,0,1,0,2,N,1,4,3
47.24,1.62,M,44,80,0,0,12,8,0,N,1,3,3
45.06,1.54,M,41,40,0,1,14,4,2,N,2,2,2
72.68,1.77,V,32,20,9,4,0,0,0,N,1,3,3
73.07,1.72,M,32,20,3,0,5,3,0,N,1,1,1
53.25,1.72,M,53,80,8,1,11,0,0,N,3,4,2
90.08,1.67,M,40,0,0,0,19,9,0,N,2,4,3
82.71,1.76,V,49,0,18,2,0,5,0,S,3,4,3
54.5,1.74,M,42,140,11,0,15,11,0,N,1,1,1
88.31,1.71,M,42,0,0,3,15,10,2,N,1,3,1
86.49,1.73,V,18,0,0,1,0,2,0,N,0,1,2
73.22,1.6,M,29,0,5,2,0,1,0,N,3,4,3
93.96,1.8,V,28,0,6,0,3,2,3,N,0,0,2
77.33,1.68,V,57,0,9,0,5,4,0,N,1,2,2
79.26,1.62,M,33,0,5,0,9,0,0,N,2,3,4
92.18,1.75,V,33,0,0,0,4,0,0,N,1,2,2
59.46,1.72,M,18,40,0,4,12,4,0,N,0,0,0
80.88,1.67,M,40,0,0,1,15,3,0,N,0,3,2
99.01,1.79,V,37,0,5,1,16,3,0,N,1,1,0
83.23,1.7,M,47,0,0,5,0,3,0,S,2,4,1
80.41,1.71,V,26,0,6,2,0,0,0,N,2,4,4
82.67,1.66,M,21,0,0,0,3,3,0,N,2,4,3
80.54,1.76,V,27,0,9,1,8,6,0,N,0,3,1
68.81,1.63,M,25,0,15,0,0,0,0,N,0,0,0
78.37,1.67,M,44,0,0,6,6,6,0,N,0,1,0
73.2,1.82,V,42,30,7,7,0,3,0,N,1,1,0
52.63,1.71,V,66,100,0,4,0,9,0,N,2,2,2
80.05,1.7,V,52,0,0,0,16,14,0,N,0,2,0
96.76,1.79,M,39,10,0,1,22,11,0,N,2,3,3
55.76,1.76,V,37,220,18,6,0,4,2,S,0,1,0
80.34,1.7,M,33,0,0,0,0,0,3,N,0,1,0
80.32,1.67,V,49,0,0,0,14,5,0,N,1,2,2
49,1.65,M,44,90,0,2,2,0,4,N,2,3,4
79.26,1.62,M,57,0,4,0,10,3,0,N,2,3,3
46.66,1.61,M,45,120,0,3,0,8,1,N,0,1,0
86.12,1.7,V,33,0,2,0,20,10,0,N,0,2,2
85.24,1.68,M,24,0,4,7,0,3,0,N,1,2,1
87.8,1.74,M,39,0,19,1,25,10,0,N,1,1,0
81.66,1.6,M,56,0,1,0,6,3,0,N,3,3,2
82.35,1.74,V,34,0,4,0,0,4,1,N,1,0,0
80.16,1.68,V,57,0,0,2,0,2,0,N,3,4,2
50.2,1.67,V,31,100,7,3,5,10,0,N,0,1,1
87.76,1.78,V,40,0,11,2,26,17,0,N,0,1,0
86.11,1.76,V,43,0,18,3,0,2,0,N,3,4,3
82.38,1.78,V,48,0,5,4,0,0,0,N,0,1,0
49,1.65,V,30,50,7,1,1,0,3,N,1,2,2
77.42,1.62,M,45,0,8,3,15,8,1,N,1,1,1
86.68,1.72,V,34,0,13,4,2,0,0,N,2,1,2
52.63,1.71,M,18,110,6,0,3,0,3,N,2,2,2
50.2,1.67,M,25,50,8,0,2,0,0,N,2,2,2
102.84,1.76,V,57,0,1,0,32,13,0,N,1,1,3
84.28,1.78,V,43,0,8,1,14,15,0,N,3,4,3
71.69,1.68,M,54,0,22,1,0,2,0,N,2,3,4
48.41,1.64,M,69,40,3,0,0,0,0,N,3,4,2
93.06,1.7,M,21,0,3,0,20,16,0,N,3,4,4
82.14,1.62,M,60,0,0,0,20,8,3,N,1,2,4
98.71,1.82,V,34,0,15,2,12,2,1,N,1,0,0
80.12,1.71,M,54,0,0,0,8,4,0,N,1,0,1
71.29,1.78,V,75,0,3,0,2,14,3,S,0,2,1
87.43,1.71,V,40,0,8,0,0,0,0,N,1,2,3
70.76,1.61,M,55,10,4,6,0,0,0,N,2,2,2
80.83,1.62,M,42,0,0,0,12,7,0,S,2,3,4
76.51,1.76,M,22,20,4,10,0,3,5,N,1,2,1
87.08,1.66,M,37,0,0,1,16,3,0,N,1,2,3
56.39,1.77,V,43,60,0,0,7,5,0,N,3,3,4
58.32,1.8,V,52,70,2,0,0,0,0,N,1,0,0
95.33,1.81,V,51,0,0,2,0,1,0,N,2,4,4
88.4,1.78,V,55,0,0,1,12,12,0,N,1,2,2
79.61,1.73,V,54,0,13,3,0,0,0,N,2,3,3
65.86,1.66,M,34,30,0,5,0,0,0,N,2,2,3
48.41,1.64,V,41,70,14,0,9,4,6,N,1,3,3
80.46,1.66,M,62,0,0,4,12,9,0,N,1,2,2
71.12,1.62,M,24,10,0,0,2,2,0,N,1,1,1
84.21,1.71,M,44,0,4,1,0,4,0,N,1,1,2
80.6,1.67,M,55,0,2,0,0,10,0,N,1,3,4
90.76,1.76,V,66,0,0,6,0,0,0,N,2,3,3
77.68,1.62,M,21,0,2,4,2,3,0,N,2,4,4
101.47,1.83,V,22,0,2,1,6,0,0,S,1,2,2
80.96,1.64,M,38,0,0,2,15,7,0,N,0,0,1
84.68,1.7,M,44,0,5,4,11,8,0,N,1,4,4
80.24,1.63,M,50,0,0,2,14,9,3,N,2,1,1
95.8,1.79,V,49,0,0,0,10,2,0,N,0,1,1
80.68,1.8,V,27,0,26,0,4,6,0,N,2,1,0
92.6,1.72,M,26,0,0,2,0,0,0,N,2,3,4
58.32,1.8,V,39,60,5,1,14,7,0,N,2,4,4
82.22,1.65,M,38,0,0,2,9,0,0,N,1,2,2
46.66,1.61,M,24,120,8,0,0,0,0,N,1,1,2
84.87,1.66,M,43,0,0,4,2,0,0,N,1,2,2
87.99,1.73,V,39,0,0,4,6,2,0,N,1,2,2
97.88,1.76,V,37,0,0,6,7,0,0,N,1,3,3
50.8,1.68,V,18,130,4,3,0,0,0,N,0,2,3
80.31,1.65,M,26,0,12,0,3,0,0,N,2,4,4
73.02,1.66,M,51,0,10,5,0,0,0,N,1,3,4
70.84,1.68,M,45,0,13,2,0,0,0,N,0,0,0
82.94,1.66,M,39,0,0,1,8,0,0,N,1,1,0
76.11,1.62,M,44,0,10,7,11,7,0,N,1,0,0
81,1.71,V,32,0,7,2,0,1,0,N,1,1,0
87.15,1.79,V,53,0,2,0,0,10,0,N,1,2,4
97.26,1.76,V,23,0,5,2,5,3,0,N,2,1,3
84.83,1.69,V,32,0,1,3,0,1,0,N,2,4,4
87.85,1.67,M,54,0,0,2,5,4,0,N,1,2,3
78.41,1.65,M,43,0,0,1,1,0,0,N,1,2,1
56.39,1.77,V,54,110,0,0,0,0,0,N,2,3,1
74.13,1.63,V,42,0,0,1,0,8,0,N,2,3,3
86.49,1.73,M,44,0,0,0,0,3,0,N,1,3,2
94.63,1.75,V,45,0,0,2,27,9,0,N,0,2,1
68.61,1.66,M,32,30,0,2,17,11,0,N,2,4,4
67.24,1.64,M,36,0,0,0,0,3,0,S,0,1,0
79.36,1.66,M,28,0,0,2,0,0,0,N,0,1,0
55.46,1.57,M,48,0,21,2,0,3,0,N,1,4,2
75.15,1.71,V,69,0,14,0,9,5,0,N,1,1,0
76.49,1.68,M,44,0,2,0,0,6,0,N,0,1,3
79.48,1.67,M,65,0,5,1,6,8,0,N,2,4,4
85.09,1.71,M,35,0,0,0,0,6,0,N,0,0,1
93.64,1.8,V,39,10,0,1,4,0,0,N,2,3,3
90.35,1.71,M,63,0,0,2,12,0,0,N,0,0,0
83.63,1.71,V,32,10,0,3,10,0,0,N,1,2,2
67.17,1.68,M,58,0,18,1,0,0,0,N,0,1,1
66.26,1.69,M,59,0,20,0,0,0,4,N,0,1,1
85.18,1.76,V,38,0,11,1,0,7,0,N,1,3,3
86.54,1.69,V,42,0,7,3,0,0,0,N,3,3,2
92.73,1.77,V,36,0,0,1,0,0,0,N,1,2,2
79.1,1.6,M,35,0,0,2,9,0,1,N,1,1,2
105.82,1.81,V,53,0,0,3,19,8,0,N,2,3,2
97.45,1.83,V,32,0,2,5,0,6,0,N,0,1,2
74.66,1.63,M,42,0,15,4,0,2,0,N,1,2,4
89.39,1.79,V,70,0,0,0,0,0,0,N,2,3,3
49.6,1.66,M,33,80,0,0,18,14,0,N,1,1,0
68.88,1.65,M,66,0,2,0,0,6,0,N,0,0,1
87.97,1.76,V,32,0,18,2,0,0,0,N,3,3,3
95.33,1.71,V,28,0,0,1,11,4,2,N,2,3,3
70.34,1.78,V,45,20,14,1,7,4,2,N,1,1,2
59.56,1.73,V,36,40,0,0,0,1,0,N,1,2,2
86.65,1.68,V,55,0,0,1,2,0,0,N,2,1,1
50.8,1.68,V,43,180,1,2,0,0,1,N,1,2,3
98.22,1.78,V,41,0,6,3,30,14,0,N,2,2,0
76.47,1.61,M,33,0,0,5,0,2,0,N,0,1,1
90.43,1.82,V,34,0,0,4,0,7,0,N,1,3,3
102.87,1.81,V,38,0,2,2,11,0,0,N,1,0,0
59.16,1.58,M,39,10,1,0,7,8,0,N,1,3,2
52.02,1.7,V,45,70,4,6,13,2,0,N,1,2,2
86.41,1.7,M,20,0,1,3,2,0,0,N,1,2,1
84.61,1.72,V,66,0,0,0,2,4,0,N,2,2,3
88.91,1.68,M,33,0,0,2,12,10,0,N,2,2,3
76.33,1.66,M,38,0,0,4,0,0,0,N,1,3,3
87.01,1.67,V,22,0,0,0,0,0,0,N,2,2,4
93.1,1.84,V,46,0,0,0,0,0,2,N,1,3,2
53.25,1.72,V,55,150,7,1,22,9,6,N,2,2,3
85.24,1.68,M,49,0,1,2,0,0,5,N,2,4,4
50.8,1.68,V,18,60,13,0,0,0,0,N,0,1,1
102.71,1.8,V,35,0,0,4,5,5,0,N,1,2,3
72.8,1.55,M,44,0,3,1,4,2,0,N,2,3,4
44.94,1.58,M,51,70,0,2,0,0,0,N,0,2,2
46.66,1.61,M,48,40,7,0,4,0,0,N,1,4,3
57.03,1.78,V,31,60,0,0,11,7,0,N,0,1,2
78.81,1.64,M,18,0,0,3,7,3,0,N,0,1,1
88.54,1.69,V,60,0,0,0,14,5,0,N,1,1,1
45.51,1.59,M,53,100,19,1,0,3,4,N,2,3,3
56.39,1.77,V,47,130,0,5,0,0,0,N,0,1,0
80.61,1.61,M,18,0,0,2,0,0,0,N,2,3,3
84.4,1.73,M,18,0,0,0,0,0,0,N,1,2,2
76.35,1.59,M,51,0,0,4,0,1,1,N,1,2,2
54.17,1.58,M,42,40,0,3,0,0,0,N,2,4,4
85.15,1.66,M,26,0,0,2,0,7,0,N,3,4,4
76.92,1.73,V,20,20,1,4,8,1,0,N,1,0,0
84.39,1.68,M,37,0,0,1,5,0,0,N,1,3,3
63.43,1.65,M,35,20,6,0,0,0,0,N,2,2,2
68.76,1.59,M,44,0,0,0,1,0,2,S,0,0,0
68.51,1.59,M,63,0,0,0,0,4,0,N,1,3,3
80.38,1.6,M,66,0,4,2,0,0,0,S,3,4,4
72.96,1.62,M,18,0,12,4,0,6,0,N,2,3,2
68.28,1.63,M,24,10,1,0,4,4,0,N,0,0,0
80.5,1.63,M,46,0,0,0,2,0,0,N,2,4,4
73.86,1.63,M,80,0,17,0,21,14,0,N,1,2,2
55.76,1.76,V,41,240,13,0,12,8,0,N,2,3,4
52.63,1.71,V,63,60,10,7,0,0,2,N,2,3,4
90.53,1.74,V,18,0,7,2,11,0,0,N,0,0,0
98.17,1.8,V,43,0,0,6,0,5,0,N,2,3,3
91.21,1.66,M,42,0,1,3,0,1,0,N,3,4,4
74.54,1.69,M,31,0,0,0,4,8,0,N,0,3,3
78.68,1.65,M,44,0,2,1,0,0,0,N,2,3,4
80.88,1.67,M,37,0,0,0,5,0,0,N,2,4,3
71.8,1.59,M,42,0,5,4,15,16,0,N,1,2,1
70.52,1.7,M,53,0,14,0,0,8,0,N,0,0,1
82.13,1.68,V,18,0,0,0,0,1,0,N,1,1,0
83.43,1.63,M,52,0,0,2,17,10,0,S,2,4,4
76.6,1.59,M,55,0,0,1,0,0,0,N,2,2,2
75.4,1.69,V,57,0,0,1,0,0,0,N,1,2,1
73.91,1.67,M,53,0,0,0,2,7,3,N,0,2,3
91.69,1.8,V,41,0,11,1,1,0,0,N,0,0,0
49.6,1.66,M,29,80,0,4,16,4,1,N,2,0,2
52.02,1.7,M,43,200,0,0,4,0,7,N,3,4,3
82.96,1.74,M,26,0,4,1,0,0,0,N,1,1,0
86.37,1.68,M,18,0,8,2,7,0,0,N,1,2,3
86.99,1.7,M,65,0,0,0,7,9,0,N,2,2,3
76.25,1.63,M,47,0,18,0,21,10,1,N,2,2,2
52.63,1.71,V,41,100,20,5,0,3,0,N,2,3,3
88.62,1.68,M,51,0,0,5,5,0,6,N,1,1,1
106.21,1.77,V,34,0,0,0,14,5,0,N,3,3,3
73.95,1.68,M,19,0,11,3,0,8,0,N,2,2,0
74.79,1.68,M,42,0,5,0,0,7,0,N,1,0,1
82.7,1.68,M,58,20,1,9,12,1,0,N,2,3,3
73.06,1.63,M,59,10,0,2,25,11,0,N,0,0,0
76.26,1.69,V,47,0,8,1,9,4,0,N,1,4,2
78.11,1.63,M,47,0,0,0,0,4,0,N,1,1,3
59.8,1.66,M,20,20,3,0,0,8,0,N,0,0,0
58.9,1.59,M,49,0,28,0,0,0,10,N,1,2,4
53.25,1.72,V,36,40,0,0,0,0,0,S,0,3,2
88.28,1.76,V,53,0,0,0,0,6,0,N,2,4,3
64.01,1.64,M,59,10,11,0,0,4,0,N,2,3,3
78.54,1.64,M,45,0,5,0,17,14,0,N,2,3,2
78.54,1.69,M,45,0,12,0,0,0,0,N,1,3,2
90.23,1.72,V,25,0,0,0,0,6,0,N,3,4,4
53.34,1.68,M,47,30,0,0,1,3,0,N,0,2,4
85.03,1.62,M,33,0,0,1,22,14,0,N,1,3,4
80.12,1.71,M,61,0,7,0,0,0,0,N,1,3,4
75.69,1.69,V,83,0,7,0,15,12,0,N,2,3,3
74.14,1.58,M,42,0,8,0,0,0,0,N,1,0,1
83.54,1.68,V,37,0,1,1,7,0,0,N,1,1,1
73.47,1.6,M,39,0,0,6,2,1,0,N,1,1,0
49.6,1.66,M,43,60,0,0,0,2,0,N,2,3,2
82.84,1.64,M,27,0,0,1,1,2,0,N,3,4,4
81.84,1.66,M,53,0,0,0,0,0,0,N,3,4,3
76.9,1.56,M,39,0,0,2,22,11,0,N,1,2,2
86.59,1.74,V,56,0,10,5,0,2,0,N,2,4,4
50.2,1.67,M,36,50,0,8,0,0,1,N,1,1,1
83.38,1.64,M,24,0,6,0,8,5,0,N,2,3,4
97.52,1.8,V,90,0,0,0,8,0,4,N,2,2,2
84.17,1.74,V,18,0,6,0,9,7,0,N,0,1,1
99.01,1.79,V,40,0,0,0,9,1,0,N,1,1,1
76.65,1.64,V,34,0,5,6,7,10,0,N,0,0,0
101.41,1.8,V,53,0,11,8,15,10,0,N,3,4,1
81.5,1.7,M,18,0,5,5,0,0,0,N,2,2,1
50.8,1.68,M,24,70,3,3,8,1,0,N,0,2,0
81.46,1.75,V,42,0,5,0,0,0,0,N,1,1,0
78.46,1.68,M,23,0,12,0,0,0,0,N,0,0,1
96.95,1.78,V,23,0,0,4,0,0,0,N,2,4,2
43.8,1.56,M,49,110,8,0,0,0,0,N,2,3,3
83.8,1.73,V,36,0,0,0,0,1,3,N,1,2,3
71.42,1.81,V,40,40,7,0,18,7,0,N,2,2,1
49.6,1.66,M,33,60,0,1,14,5,0,N,2,2,3
64.35,1.68,M,18,30,0,2,4,0,0,N,2,2,0
94.77,1.83,V,23,0,13,5,0,0,0,N,0,0,1
86.54,1.69,V,44,0,0,6,22,22,0,N,1,0,0
86.85,1.71,M,49,0,5,4,0,0,0,N,1,1,2
81.29,1.71,V,36,0,0,0,2,6,0,N,0,0,1
84.47,1.74,M,50,0,7,6,3,0,6,N,1,0,0
80.54,1.69,M,51,0,4,0,3,1,0,N,1,2,1
73.91,1.67,V,45,0,3,3,0,5,0,N,0,1,1
92.3,1.72,V,40,0,0,0,24,12,0,N,0,1,1
56.94,1.55,M,63,0,14,0,1,3,0,S,0,0,0
79.77,1.65,V,68,0,0,4,11,0,0,N,0,1,0
84.83,1.69,M,18,0,13,2,6,1,0,N,2,3,4
65.83,1.55,M,47,0,5,0,2,7,2,S,2,4,4
53.87,1.73,V,55,100,2,0,27,14,0,N,2,3,1
82.24,1.72,M,35,0,8,0,17,8,0,N,0,0,0
48.41,1.64,M,50,40,12,0,6,3,0,N,2,4,4
102.21,1.79,V,21,0,9,0,0,0,0,N,3,4,3
74.53,1.62,M,65,0,0,0,11,6,0,N,1,2,1
81.58,1.71,V,58,0,3,1,0,0,13,N,1,2,3
50.8,1.68,M,44,100,0,0,0,0,0,N,0,1,1
89.4,1.69,M,52,0,3,1,23,15,2,N,2,3,3
52.02,1.7,V,31,60,2,2,0,0,0,N,1,1,1
69.19,1.55,M,50,0,0,0,3,2,0,N,0,1,2
56.39,1.77,V,25,120,0,0,15,5,0,N,1,3,2
86.46,1.67,M,58,0,0,2,23,6,0,N,1,3,3
53.87,1.73,V,69,100,7,0,17,6,0,N,1,2,3
72.66,1.74,M,26,0,19,3,3,10,0,N,0,1,0
83.52,1.7,M,33,0,2,2,0,0,0,N,0,2,3
59.89,1.65,V,39,20,5,2,0,0,0,N,2,3,2
50.8,1.68,M,18,190,0,1,12,1,0,N,2,4,3
98.38,1.82,V,18,0,0,0,17,11,0,N,2,4,4
87.01,1.57,M,42,0,0,0,20,0,0,N,3,3,3
78.26,1.69,M,40,10,0,4,4,4,0,N,2,2,3
55.76,1.76,M,42,160,0,0,16,0,0,N,1,2,3
84.74,1.6,M,32,0,0,3,18,7,0,N,3,3,3
89.12,1.75,V,49,0,4,1,0,2,0,N,2,3,3
57.03,1.78,V,25,70,0,2,0,0,0,N,1,3,4
79.76,1.67,V,49,0,6,0,5,4,0,N,1,2,2
54.5,1.74,M,49,70,11,0,2,7,0,N,1,1,2
77.46,1.64,V,29,0,15,3,7,6,0,S,2,2,2
90.85,1.77,V,28,0,13,0,0,3,0,N,2,3,4
81.29,1.68,M,43,0,0,0,9,2,0,N,0,1,0
71.12,1.68,V,42,0,16,2,18,15,0,N,0,1,0
89.42,1.75,V,23,0,0,5,6,5,0,N,0,1,0
84.61,1.72,V,27,0,0,0,3,13,0,N,1,1,1
87.59,1.75,V,21,0,6,1,0,0,0,N,1,0,0
71.8,1.59,M,54,0,0,0,16,6,0,N,0,1,2
54.5,1.74,V,38,130,7,4,13,12,1,N,2,2,2
78.38,1.85,V,36,30,0,0,6,0,0,N,2,4,4
